what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1472583632567
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1472583632848
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1472583651222
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1472583678093
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1472583678390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472583680015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472583696437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472583697155
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472583700968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472583715685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587364684
executed,command,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project.commands.quartus",1472587373354
error,log,,,"Unknown Quartus project directory",1472587375432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587376260
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587411545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587440934
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587443381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587453747
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1472587471251
started,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.216,"com.altera.debug.cdi.gdb.plugin",1472587495973
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587496817
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587496832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587497364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1472587497395
