what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1512227982123
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1512227982123
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1512227982123
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1512227982154
started,bundle,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project",1512227982233
os,sysinfo,,,"win32",1512227982237
arch,sysinfo,,,"x86",1512227982237
ws,sysinfo,,,"win32",1512227982237
locale,sysinfo,,,"es_PE",1512227982237
processors,sysinfo,,,"4",1512227982237
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1512227982237
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1512227982237
java.specification.name,sysinfo,,,"Java Platform API Specification",1512227982237
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512227982237
java.specification.version,sysinfo,,,"1.6",1512227982237
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1512227982237
java.version,sysinfo,,,"1.6.0_23",1512227982237
java.vm.info,sysinfo,,,"mixed mode",1512227982237
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1512227982237
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1512227982237
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512227982237
java.vm.specification.version,sysinfo,,,"1.0",1512227982237
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1512227982237
java.vm.version,sysinfo,,,"19.0-b09",1512227982237
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1512227982409
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1512227982893
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1512227983034
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1512227983128
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1512227983331
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1512227983347
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1512227983409
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1512227984097
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1512227984159
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1512227984440
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1512227984847
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1512227986597
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1512227986956
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1512227989003
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1512227989487
