what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1512488747251
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1512488747314
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1512488747329
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1512488747329
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1512488747329
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1512488747376
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1512488747376
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1512488747376
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1512488747376
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1512488747392
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1512488747392
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1512488747438
started,bundle,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project",1512488747501
os,sysinfo,,,"win32",1512488747501
arch,sysinfo,,,"x86",1512488747501
ws,sysinfo,,,"win32",1512488747501
locale,sysinfo,,,"es_PE",1512488747501
processors,sysinfo,,,"4",1512488747501
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1512488747501
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1512488747501
java.specification.name,sysinfo,,,"Java Platform API Specification",1512488747501
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512488747501
java.specification.version,sysinfo,,,"1.6",1512488747501
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1512488747501
java.version,sysinfo,,,"1.6.0_23",1512488747501
java.vm.info,sysinfo,,,"mixed mode",1512488747501
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1512488747501
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1512488747501
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512488747501
java.vm.specification.version,sysinfo,,,"1.0",1512488747501
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1512488747501
java.vm.version,sysinfo,,,"19.0-b09",1512488747501
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1512488747970
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1512488748235
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1512488748595
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1512488749376
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1512488749517
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1512488751074
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1512488751523
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1512488751691
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1512488752691
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1512488752767
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1512488753536
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1512488753580
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1512488754397
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1512488754741
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1512488754835
started,bundle,com.altera.sbtgui.integration,11.1.0.216,"com.altera.sbtgui.integration",1512488756475
started,bundle,com.altera.systemconsole,11.1.0.216,"com.altera.systemconsole",1512488756600
started,bundle,com.altera.utilities,11.1.0.216,"com.altera.utilities",1512488756850
started,bundle,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch",1512488759428
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1512488772049
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1512488774408
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1512488787315
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1512488802518
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1512488803877
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1512488818190
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1512488824533
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1512488824955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1512488825112
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1512488825362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1512488825533
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1512488825721
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1512488826112
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1512488834127
started,bundle,com.altera.sbtgui.core,11.1.0.216,"com.altera.sbtgui.core",1512488864118
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1512488864212
executed,command,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project.commands.quartus",1512488869196
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1512488869431
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1512488869728
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1512488870056
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512488876306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512488949765
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512488950816
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1512488951628
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1512488953660
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1512488953691
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512488954941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512488991616
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1512489003679
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1512489003757
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1512489013460
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1512489013460
opened,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512489019726
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1512489021679
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1512489021757
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1512489060315
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1512489063924
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512489064440
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512489066065
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512489067237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489069378
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489084706
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1512489087300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489087409
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512489100440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489108016
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1512489108016
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512489124220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489334257
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489336054
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489336617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489683128
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1512489696675
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489799900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489844978
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1512489860040
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512489869103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489871603
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489886540
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1512489888806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489888994
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512489901572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1512489910146
