what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1512412586373
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1512412586373
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1512412586373
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1512412586389
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1512412586389
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1512412586389
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1512412586404
started,bundle,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project",1512412586436
os,sysinfo,,,"win32",1512412586436
arch,sysinfo,,,"x86",1512412586436
ws,sysinfo,,,"win32",1512412586436
locale,sysinfo,,,"es_PE",1512412586436
processors,sysinfo,,,"4",1512412586436
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1512412586436
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1512412586436
java.specification.name,sysinfo,,,"Java Platform API Specification",1512412586436
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512412586436
java.specification.version,sysinfo,,,"1.6",1512412586436
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1512412586436
java.version,sysinfo,,,"1.6.0_23",1512412586436
java.vm.info,sysinfo,,,"mixed mode",1512412586436
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1512412586436
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1512412586436
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512412586436
java.vm.specification.version,sysinfo,,,"1.0",1512412586436
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1512412586436
java.vm.version,sysinfo,,,"19.0-b09",1512412586436
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1512412587201
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1512412587264
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1512412587420
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1512412588017
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1512412588072
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1512412588166
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1512412588572
started,bundle,com.altera.sbtgui.core,11.1.0.216,"com.altera.sbtgui.core",1512412588619
executed,command,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project.commands.quartus",1512412590025
started,bundle,com.altera.utilities,11.1.0.216,"com.altera.utilities",1512412590103
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1512412590369
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1512412590400
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1512412590744
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1512412591963
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1512412593635
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1512412594088
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1512412594322
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1512412595853
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1512412596103
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1512412597900
